,id,race_created,race_driven,track_id,challenger,opponent,money,fuel_consumption,winner,status,forecast,weather
66,67,06.03.2012,06.03.2012 13:15,12,48,21,30,0.375,21,finished,"a:4:{s:5:""sunny"";i:5;s:5:""rainy"";i:30;s:8:""thundery"";i:25;s:5:""snowy"";i:40;}",snowy
67,68,06.03.2012,06.03.2012 10:37,12,48,22,30,0.375,22,finished,"a:4:{s:5:""sunny"";i:30;s:5:""rainy"";i:5;s:8:""thundery"";i:0;s:5:""snowy"";i:65;}",snowy
68,69,06.03.2012,06.03.2012 10:36,12,48,22,30,0.375,22,finished,"a:4:{s:5:""sunny"";i:30;s:5:""rainy"";i:10;s:8:""thundery"";i:55;s:5:""snowy"";i:5;}",sunny
69,70,06.03.2012,06.03.2012 10:35,12,48,22,30,0.375,22,finished,"a:4:{s:5:""sunny"";i:20;s:5:""rainy"";i:10;s:8:""thundery"";i:55;s:5:""snowy"";i:15;}",thundery
70,71,06.03.2012,06.03.2012 10:34,12,48,55,30,0.375,55,finished,"a:4:{s:5:""sunny"";i:75;s:5:""rainy"";i:10;s:8:""thundery"";i:15;s:5:""snowy"";i:0;}",sunny
71,72,06.03.2012,06.03.2012 12:37,12,48,18,30,0.375,18,finished,"a:4:{s:5:""sunny"";i:80;s:5:""rainy"";i:15;s:8:""thundery"";i:5;s:5:""snowy"";i:0;}",sunny
72,73,06.03.2012,06.03.2012 10:33,12,48,55,30,0.375,55,finished,"a:4:{s:5:""sunny"";i:15;s:5:""rainy"";i:25;s:8:""thundery"";i:35;s:5:""snowy"";i:25;}",snowy
73,74,06.03.2012,06.03.2012 10:35,12,48,20,30,0.375,20,finished,"a:4:{s:5:""sunny"";i:100;s:5:""rainy"";i:0;s:8:""thundery"";i:0;s:5:""snowy"";i:0;}",sunny
74,75,06.03.2012,06.03.2012 10:33,12,48,55,30,0.375,55,finished,"a:4:{s:5:""sunny"";i:20;s:5:""rainy"";i:45;s:8:""thundery"";i:20;s:5:""snowy"";i:15;}",sunny
75,76,06.03.2012,06.03.2012 10:34,12,48,20,30,0.375,20,finished,"a:4:{s:5:""sunny"";i:25;s:5:""rainy"";i:70;s:8:""thundery"";i:0;s:5:""snowy"";i:5;}",rainy
76,77,06.03.2012,06.03.2012 10:31,12,22,48,30,0.66,22,finished,"a:4:{s:5:""sunny"";i:85;s:5:""rainy"";i:0;s:8:""thundery"";i:15;s:5:""snowy"";i:0;}",sunny
77,78,06.03.2012,06.03.2012 10:33,12,48,20,30,0.375,20,finished,"a:4:{s:5:""sunny"";i:90;s:5:""rainy"";i:0;s:8:""thundery"";i:0;s:5:""snowy"";i:10;}",sunny
78,79,06.03.2012,0000-00-00 00:00:00,12,48,0,30,0.375,0,retired,"a:4:{s:5:""sunny"";i:55;s:5:""rainy"";i:40;s:8:""thundery"";i:0;s:5:""snowy"";i:5;}",
79,80,06.03.2012,06.03.2012 10:38,12,22,55,30,0.66,22,finished,"a:4:{s:5:""sunny"";i:35;s:5:""rainy"";i:35;s:8:""thundery"";i:5;s:5:""snowy"";i:25;}",rainy
80,81,06.03.2012,06.03.2012 10:37,12,22,48,30,0.66,48,finished,"a:4:{s:5:""sunny"";i:100;s:5:""rainy"";i:0;s:8:""thundery"";i:0;s:5:""snowy"";i:0;}",sunny
81,82,06.03.2012,0000-00-00 00:00:00,12,20,3,50,0.51,0,retired,"a:4:{s:5:""sunny"";i:50;s:5:""rainy"";i:40;s:8:""thundery"";i:10;s:5:""snowy"";i:0;}",
82,83,06.03.2012,0000-00-00 00:00:00,12,48,0,30,0.375,0,retired,"a:4:{s:5:""sunny"";i:25;s:5:""rainy"";i:55;s:8:""thundery"";i:20;s:5:""snowy"";i:0;}",
83,84,06.03.2012,06.03.2012 11:23,12,22,3,30,0.66,3,finished,"a:4:{s:5:""sunny"";i:10;s:5:""rainy"";i:25;s:8:""thundery"";i:40;s:5:""snowy"";i:25;}",sunny
84,85,06.03.2012,06.03.2012 10:39,12,22,55,30,0.66,22,finished,"a:4:{s:5:""sunny"";i:100;s:5:""rainy"";i:0;s:8:""thundery"";i:0;s:5:""snowy"";i:0;}",sunny
85,86,06.03.2012,06.03.2012 10:40,12,22,55,30,0.66,22,finished,"a:4:{s:5:""sunny"";i:10;s:5:""rainy"";i:85;s:8:""thundery"";i:5;s:5:""snowy"";i:0;}",rainy
86,87,06.03.2012,06.03.2012 11:22,12,22,3,30,0.66,3,finished,"a:4:{s:5:""sunny"";i:75;s:5:""rainy"";i:15;s:8:""thundery"";i:10;s:5:""snowy"";i:0;}",sunny
87,88,06.03.2012,06.03.2012 11:22,12,22,3,30,0.66,22,finished,"a:4:{s:5:""sunny"";i:35;s:5:""rainy"";i:30;s:8:""thundery"";i:25;s:5:""snowy"";i:10;}",sunny
88,89,06.03.2012,06.03.2012 10:44,12,55,48,30,0.3975,48,finished,"a:4:{s:5:""sunny"";i:65;s:5:""rainy"";i:5;s:8:""thundery"";i:15;s:5:""snowy"";i:15;}",sunny
89,90,06.03.2012,06.03.2012 11:10,12,22,20,30,0.66,22,finished,"a:4:{s:5:""sunny"";i:45;s:5:""rainy"";i:15;s:8:""thundery"";i:10;s:5:""snowy"";i:30;}",sunny
90,91,06.03.2012,06.03.2012 10:55,12,22,20,30,0.66,22,finished,"a:4:{s:5:""sunny"";i:65;s:5:""rainy"";i:30;s:8:""thundery"";i:5;s:5:""snowy"";i:0;}",sunny
91,92,06.03.2012,06.03.2012 10:45,12,55,48,30,0.3975,55,finished,"a:4:{s:5:""sunny"";i:75;s:5:""rainy"";i:0;s:8:""thundery"";i:25;s:5:""snowy"";i:0;}",sunny
92,93,06.03.2012,06.03.2012 10:45,12,55,48,30,0.3975,55,finished,"a:4:{s:5:""sunny"";i:45;s:5:""rainy"";i:50;s:8:""thundery"";i:0;s:5:""snowy"";i:5;}",rainy
93,94,06.03.2012,06.03.2012 10:45,12,55,48,30,0.3975,48,finished,"a:4:{s:5:""sunny"";i:75;s:5:""rainy"";i:15;s:8:""thundery"";i:10;s:5:""snowy"";i:0;}",sunny
94,95,06.03.2012,06.03.2012 10:48,12,55,48,30,0.3975,48,finished,"a:4:{s:5:""sunny"";i:0;s:5:""rainy"";i:35;s:8:""thundery"";i:40;s:5:""snowy"";i:25;}",rainy
95,96,06.03.2012,06.03.2012 13:05,12,48,21,30,0.375,21,finished,"a:4:{s:5:""sunny"";i:5;s:5:""rainy"";i:0;s:8:""thundery"";i:20;s:5:""snowy"";i:75;}",snowy
96,97,06.03.2012,06.03.2012 12:36,12,48,18,30,0.375,18,finished,"a:4:{s:5:""sunny"";i:70;s:5:""rainy"";i:5;s:8:""thundery"";i:0;s:5:""snowy"";i:25;}",sunny
97,98,06.03.2012,06.03.2012 13:07,12,48,21,30,0.375,21,finished,"a:4:{s:5:""sunny"";i:40;s:5:""rainy"";i:40;s:8:""thundery"";i:10;s:5:""snowy"";i:10;}",rainy
98,99,06.03.2012,06.03.2012 11:39,12,48,60,30,0.375,60,finished,"a:4:{s:5:""sunny"";i:40;s:5:""rainy"";i:0;s:8:""thundery"";i:40;s:5:""snowy"";i:20;}",sunny
99,100,06.03.2012,06.03.2012 11:38,12,48,60,30,0.375,48,finished,"a:4:{s:5:""sunny"";i:100;s:5:""rainy"";i:0;s:8:""thundery"";i:0;s:5:""snowy"";i:0;}",sunny
